Transaction Time|Transaction Type|Serial #|Buyer|Seller|Amount|Market ID
1687207673.298365909|CRYPTOTRANSFER|9|0.0.2007347|0.0.1066186|500.0|zuse
1684982674.012875003|CRYPTOTRANSFER|27|0.0.694647|0.0.2657668|1999.27859792|zuse
1684383126.985878003|CRYPTOTRANSFER|38|0.0.617606|0.0.1908107|400.0|zuse
1684981083.872522003|CRYPTOTRANSFER|41|0.0.1413236|0.0.655736|500.0|zuse
1689082107.234229003|CRYPTOTRANSFER|42|0.0.2967099|0.0.1908107|359.69263392|zuse
1684375049.495239949|CRYPTOTRANSFER|46|0.0.2657668|0.0.1908107|500.0|zuse
1689836861.370657511|CRYPTOTRANSFER|52|0.0.1897614|0.0.655736|375.0|sentx
1685508246.186809617|CRYPTOTRANSFER|54|0.0.1952570|0.0.638621|555.0|zuse
1692263751.589228003|CRYPTOTRANSFER|56|0.0.1280779|0.0.355724|1782.0|zuse
1689730910.347801003|CRYPTOTRANSFER|67|0.0.1421971|0.0.789038|100.0|sentx
1684279194.036810378|CRYPTOTRANSFER|73|0.0.805717|0.0.1908107|450.0|zuse
1685417259.406290003|CRYPTOTRANSFER|80|0.0.2825248|0.0.1908107|600.0|zuse
1684076769.605784577|CRYPTOTRANSFER|83|0.0.694647|0.0.1908107|550.0|zuse
1689444154.197620669|CRYPTOTRANSFER|87|0.0.511420|0.0.1908107|360.0|zuse
1684285022.908645003|CRYPTOTRANSFER|89|0.0.2580189|0.0.1908107|500.0|zuse
1684759215.244469435|CRYPTOTRANSFER|91|0.0.774039|0.0.1908107|375.0|zuse
1686894394.628728471|CRYPTOTRANSFER|91|0.0.893956|0.0.774039|455.0|zuse
1684283808.185218003|CRYPTOTRANSFER|94|0.0.704472|0.0.1908107|450.0|zuse
1684815237.223815003|CRYPTOTRANSFER|101|0.0.617606|0.0.1908107|350.0|zuse
1685507892.073358003|CRYPTOTRANSFER|101|0.0.1952570|0.0.617606|500.0|zuse
1684205956.174084835|CRYPTOTRANSFER|104|0.0.2104123|0.0.1908107|450.0|zuse
1686349826.288021295|CRYPTOTRANSFER|104|0.0.2967099|0.0.910353|444.0|zuse
1685507999.073340003|CRYPTOTRANSFER|106|0.0.1952570|0.0.1908107|600.0|zuse
1685508267.066805295|CRYPTOTRANSFER|110|0.0.1952570|0.0.618733|650.0|zuse
1684880360.573856576|CRYPTOTRANSFER|111|0.0.2657668|0.0.618733|480.0|zuse
1686089085.408119650|CRYPTOTRANSFER|112|0.0.660029|0.0.638341|498.0|zuse
1686089306.289951650|CRYPTOTRANSFER|113|0.0.660029|0.0.638341|500.0|zuse
1689449530.419203109|CRYPTOTRANSFER|115|0.0.516255|0.0.1503696|375.0|zuse
1685684970.137427003|CRYPTOTRANSFER|120|0.0.692010|0.0.589369|400.0|zuse
1684025866.229859003|CRYPTOTRANSFER|121|0.0.1843650|0.0.775987|945.0|zuse
1689213049.427978003|CRYPTOTRANSFER|123|0.0.2012311|0.0.1301559|350.0|sentx
1690294821.546732003|CRYPTOTRANSFER|123|0.0.2135513|0.0.2012311|298.0|sentx
1686089338.554171572|CRYPTOTRANSFER|127|0.0.660029|0.0.638341|499.0|zuse
1683983089.719115222|CRYPTOTRANSFER|132|0.0.638341|0.0.775987|550.0|zuse
1688065180.311441850|CRYPTOTRANSFER|135|0.0.511420|0.0.1120498|495.0|sentx
1684322091.201869003|CRYPTOTRANSFER|175|0.0.2580189|0.0.774039|4999.0|zuse
1684034680.517475003|CRYPTOTRANSFER|181|0.0.456097|0.0.774039|500.0|zuse
1684039505.597624271|CRYPTOTRANSFER|191|0.0.2175000|0.0.1843650|1000.0|zuse
1684458204.094409123|CRYPTOTRANSFER|191|0.0.2680786|0.0.2175000|475.0|zuse
1684434040.472644036|CRYPTOTRANSFER|196|0.0.2680786|0.0.505765|450.0|zuse
1692400074.001068585|CRYPTOTRANSFER|198|0.0.3004265|0.0.774039|288.75|sentx
1685507924.803161125|CRYPTOTRANSFER|203|0.0.1952570|0.0.844175|500.0|zuse
1684179170.105661003|CRYPTOTRANSFER|209|0.0.1843650|0.0.657657|7777.0|zuse
1684722778.888088785|CRYPTOTRANSFER|210|0.0.1120498|0.0.657657|5000.0|zuse
1684686735.457933003|CRYPTOTRANSFER|213|0.0.511574|0.0.706113|469.0|zuse
1689870296.681302201|CRYPTOTRANSFER|214|0.0.793407|0.0.1120498|475.0|sentx
1690327207.976401995|CRYPTOTRANSFER|214|0.0.1757800|0.0.793407|150.0|sentx
1690327240.103468536|CRYPTOTRANSFER|214|0.0.1897614|0.0.1757800|250.0|sentx
1684958106.014218071|CRYPTOTRANSFER|215|0.0.660029|0.0.706113|600.0|zuse
1684957804.855453536|CRYPTOTRANSFER|216|0.0.660029|0.0.679541|500.0|zuse
1687109477.687994807|CRYPTOTRANSFER|220|0.0.2336576|0.0.657657|420.0|zuse
1684621338.812006003|CRYPTOTRANSFER|224|0.0.1498096|0.0.967174|469.0|zuse
1689555116.445666330|CRYPTOTRANSFER|224|0.0.2121560|0.0.1301559|325.0|sentx
